iter	Passed	Remaining
406	5391	7854
407	5402	7839
408	5415	7825
409	5430	7814
410	5442	7799
411	5453	7783
412	5466	7769
413	5479	7755
414	5494	7744
415	5509	7734
416	5527	7727
417	5545	7721
418	5560	7710
419	5576	7700
420	5589	7687
421	5601	7672
422	5614	7657
423	5627	7645
424	5640	7631
425	5653	7617
426	5666	7603
427	5681	7593
428	5694	7578
429	5710	7569
430	5723	7555
431	5737	7543
432	5748	7527
433	5760	7513
434	5774	7499
435	5786	7485
436	5799	7472
437	5811	7456
438	5823	7441
439	5839	7431
440	5856	7423
441	5869	7410
442	5883	7397
443	5894	7381
444	5906	7367
445	5919	7352
446	5932	7338
447	5943	7323
448	5955	7308
449	5967	7293
450	5978	7277
451	5989	7261
452	6004	7250
453	6020	7240
454	6040	7234
455	6055	7223
456	6069	7212
457	6085	7202
458	6100	7189
459	6113	7176
460	6128	7165
461	6145	7156
462	6160	7144
463	6174	7132
464	6186	7117
465	6201	7106
466	6220	7100
467	6234	7087
468	6248	7074
469	6261	7060
470	6276	7049
471	6289	7035
472	6300	7019
473	6311	7004
474	6323	6988
475	6335	6974
476	6349	6961
477	6361	6946
478	6373	6932
479	6386	6918
480	6398	6903
481	6412	6891
482	6429	6881
483	6443	6869
484	6457	6857
485	6470	6843
486	6485	6832
487	6498	6818
488	6513	6806
489	6528	6794
490	6541	6781
491	6554	6767
492	6567	6753
493	6583	6742
494	6599	6732
495	6613	6719
496	6625	6705
497	6638	6691
498	6653	6679
499	6668	6668
500	6681	6654
501	6692	6639
502	6704	6624
503	6719	6612
504	6731	6598
505	6743	6583
506	6754	6568
507	6766	6553
508	6777	6537
509	6788	6522
510	6799	6507
511	6811	6492
512	6822	6477
513	6835	6462
514	6850	6451
515	6868	6442
516	6882	6429
517	6897	6418
518	6916	6409
519	6931	6398
520	6944	6384
521	6958	6372
522	6973	6360
523	6985	6346
524	6999	6332
525	7016	6322
526	7031	6310
527	7044	6296
528	7056	6282
529	7067	6267
530	7078	6252
531	7092	6238
532	7106	6226
533	7119	6212
534	7130	6197
535	7141	6181
536	7153	6167
537	7166	6154
538	7177	6139
539	7189	6124
540	7200	6109
541	7212	6094
542	7224	6080
543	7235	6065
544	7246	6049
545	7258	6035
546	7270	6021
547	7282	6006
548	7296	5994
549	7309	5980
550	7320	5965
551	7331	5950
552	7343	5935
553	7354	5920
554	7366	5906
555	7379	5893
556	7392	5879
557	7403	5864
558	7415	5849
559	7426	5835
560	7438	5821
561	7455	5810
562	7468	5796
563	7484	5786
564	7502	5776
565	7517	5764
566	7532	5752
567	7547	5740
568	7563	5728
569	7575	5715
570	7599	5709
571	7613	5696
572	7627	5683
573	7643	5672
574	7655	5658
575	7667	5644
576	7680	5630
577	7694	5617
578	7708	5604
579	7726	5595
580	7740	5581
581	7754	5569
582	7766	5555
583	7779	5541
584	7793	5528
585	7809	5517
586	7823	5504
587	7838	5491
588	7850	5478
589	7864	5464
590	7885	5457
591	7898	5443
592	7911	5429
593	7923	5415
594	7937	5402
595	7950	5389
596	7966	5377
597	7978	5363
598	7995	5352
599	8009	5339
600	8026	5328
601	8039	5315
602	8052	5301
603	8066	5288
604	8079	5274
605	8092	5261
606	8104	5247
607	8118	5234
608	8131	5220
609	8143	5206
610	8154	5191
611	8227	5215
612	8297	5238
613	8327	5234
614	8339	5220
615	8351	5206
616	8364	5192
617	8378	5179
618	8393	5166
619	8405	5152
620	8419	5138
621	8432	5124
622	8445	5110
623	8459	5097
624	8472	5083
625	8483	5068
626	8495	5054
627	8510	5041
628	8522	5026
629	8534	5012
630	8545	4997
631	8556	4982
632	8567	4967
633	8579	4952
634	8592	4939
635	8605	4925
636	8619	4911
637	8634	4898
638	8646	4885
639	8663	4872
640	8677	4860
641	8690	4846
642	8703	4832
643	8716	4818
644	8729	4804
645	8742	4791
646	8754	4776
647	8766	4762
648	8777	4747
649	8789	4732
650	8803	4719
651	8823	4709
652	8836	4695
653	8848	4681
654	8859	4666
655	8871	4651
656	8882	4637
657	8897	4624
658	8909	4610
659	8921	4595
660	8932	4581
661	8948	4568
662	8959	4554
663	8987	4547
664	9013	4540
665	9028	4527
666	9039	4513
667	9052	4498
668	9064	4484
669	9076	4470
670	9089	4456
671	9110	4446
672	9128	4435
673	9152	4426
674	9185	4422
675	9201	4410
676	9216	4397
677	9231	4384
678	9245	4370
679	9256	4356
680	9271	4342
681	9282	4328
682	9294	4313
683	9306	4299
684	9318	4284
685	9328	4270
686	9340	4255
687	9351	4240
688	9365	4227
689	9376	4212
690	9387	4197
691	9400	4183
692	9420	4173
693	9439	4162
694	9454	4149
695	9470	4136
696	9487	4124
697	9511	4115
698	9534	4105
699	9548	4092
700	9561	4078
701	9573	4063
702	9586	4050
703	9600	4036
704	9613	4022
705	9625	4008
706	9638	3994
707	9653	3981
708	9667	3967
709	9681	3954
710	9692	3939
711	9704	3925
712	9714	3910
713	9727	3896
714	9739	3882
715	9750	3867
716	9762	3853
717	9775	3839
718	9786	3824
719	9801	3811
720	9812	3797
721	9824	3782
722	9835	3768
723	9848	3754
724	9860	3740
725	9874	3726
726	9886	3712
727	9898	3698
728	9910	3684
729	9926	3671
730	9939	3657
731	9951	3643
732	9963	3629
733	9977	3615
734	9988	3601
735	10001	3587
736	10013	3573
737	10028	3560
738	10039	3545
739	10052	3531
740	10064	3517
741	10075	3503
742	10091	3490
743	10102	3476
744	10113	3461
745	10126	3447
746	10138	3433
747	10150	3419
748	10161	3405
749	10174	3391
750	10188	3378
751	10200	3363
752	10213	3350
753	10224	3335
754	10236	3321
755	10249	3308
756	10263	3294
757	10275	3280
758	10286	3266
759	10298	3252
760	10309	3237
761	10322	3224
762	10335	3210
763	10346	3196
764	10359	3182
765	10370	3167
766	10384	3154
767	10396	3140
768	10407	3126
769	10419	3112
770	10433	3098
771	10445	3084
772	10456	3070
773	10467	3056
774	10478	3042
775	10492	3028
776	10505	3015
777	10520	3001
778	10534	2988
779	10549	2975
780	10562	2961
781	10574	2947
782	10585	2933
783	10598	2920
784	10610	2905
785	10622	2892
786	10633	2878
787	10645	2864
788	10657	2850
789	10670	2836
790	10686	2823
791	10698	2809
792	10709	2795
793	10721	2781
794	10732	2767
795	10745	2753
796	10756	2739
797	10768	2725
798	10779	2711
799	10790	2697
800	10802	2683
801	10814	2669
802	10827	2656
803	10839	2642
804	10850	2628
805	10861	2614
806	10873	2600
807	10886	2586
808	10901	2573
809	10924	2562
810	10967	2555
811	10991	2544
812	11014	2533
813	11032	2520
814	11048	2507
815	11065	2495
816	11082	2482
817	11098	2469
818	11115	2456
819	11134	2444
820	11150	2431
821	11166	2418
822	11178	2404
823	11192	2390
824	11203	2376
825	11217	2363
826	11230	2349
827	11242	2335
828	11253	2321
