iter	RMSE
0	46.2421375
1	45.69218016
2	45.20027325
3	44.72220495
4	44.28190334
5	43.84877966
6	43.46240607
7	43.10913912
8	42.77774215
9	42.47748028
10	42.18848485
11	41.94197752
12	41.6688423
13	41.42082887
14	41.19315941
15	40.99705255
16	40.80414623
17	40.60302187
18	40.40930899
19	40.23014443
20	40.06854176
21	39.94402838
22	39.79004486
23	39.64525845
24	39.51218402
25	39.38542613
26	39.27072813
27	39.1386257
28	39.02460371
29	38.9071586
30	38.78846723
31	38.69369695
32	38.6079108
33	38.52755779
34	38.43621808
35	38.33750809
36	38.25601197
37	38.19345334
38	38.11231933
39	38.04543041
40	37.98094649
41	37.92093856
42	37.85265266
43	37.78728755
44	37.7229664
45	37.67325218
46	37.62167195
47	37.5733578
48	37.52959147
49	37.48828321
50	37.43406047
51	37.3952296
52	37.34579199
53	37.29732513
54	37.25752652
55	37.21191552
56	37.17330352
57	37.13929281
58	37.11045493
59	37.06315369
60	37.02730726
61	36.99558391
62	36.96107278
63	36.92931455
64	36.89073266
65	36.85728808
66	36.82683596
67	36.79058653
68	36.76077107
69	36.7336809
70	36.70431213
71	36.67858033
72	36.65013252
73	36.62207777
74	36.59804328
75	36.57370188
76	36.55738113
77	36.53093426
78	36.50637698
79	36.48309486
80	36.46791685
81	36.44548314
82	36.42663675
83	36.39726994
84	36.3791155
85	36.35451371
86	36.33719799
87	36.31600006
88	36.30199935
89	36.28225497
90	36.26312827
91	36.25046855
92	36.23090688
93	36.21436141
94	36.19196367
95	36.1696018
96	36.15112673
97	36.13448445
98	36.11684349
99	36.10664427
100	36.09032172
101	36.06902226
102	36.04946764
103	36.02551469
104	36.00939915
105	35.99163412
106	35.96745563
107	35.95002214
108	35.93070412
109	35.91469923
110	35.90092867
111	35.88490395
112	35.86559141
113	35.84649669
114	35.82903325
115	35.80149615
116	35.78101545
117	35.76823956
118	35.75131115
119	35.73741551
120	35.71816664
121	35.70307749
122	35.69343713
123	35.6761152
124	35.66009123
125	35.64552905
126	35.63542475
127	35.61881999
128	35.61083053
129	35.59684736
130	35.58088006
131	35.57237618
132	35.55845948
133	35.5494682
134	35.53521728
135	35.52503807
136	35.50738254
137	35.49467889
138	35.47914297
139	35.46659048
140	35.45250685
141	35.44377555
142	35.42526534
143	35.40916127
144	35.39723714
145	35.38703674
146	35.37844917
147	35.36701564
148	35.34650659
149	35.32668653
150	35.30550064
151	35.2895315
152	35.26871722
153	35.25582253
154	35.24197052
155	35.22784626
156	35.21450814
157	35.20342483
158	35.19156028
159	35.17102847
160	35.15877673
161	35.14082181
162	35.1306337
163	35.11656416
164	35.10355363
165	35.09332794
166	35.08513724
167	35.07406792
168	35.06572358
169	35.05584499
170	35.03904486
171	35.02154556
172	35.00563403
173	34.99021966
174	34.98042163
175	34.9613827
176	34.94857236
177	34.92960856
178	34.9138775
179	34.89310784
180	34.88353774
181	34.8699947
182	34.85346124
183	34.84137479
184	34.82762812
185	34.813244
186	34.79263418
187	34.78272687
188	34.76957672
189	34.75966406
190	34.74435742
191	34.73551418
192	34.72293236
193	34.71175942
194	34.70090163
195	34.68159718
196	34.6746951
197	34.66557829
198	34.65156693
199	34.63260862
200	34.61961791
201	34.60627853
202	34.59012879
203	34.57955739
204	34.56842548
205	34.55461604
206	34.54193616
207	34.52216852
208	34.51363099
209	34.50434889
210	34.49344424
211	34.47533168
212	34.46579826
213	34.45523192
214	34.44360074
215	34.42663031
216	34.41033006
217	34.39461226
218	34.38124295
219	34.36733026
220	34.36144853
221	34.34572943
222	34.33639746
223	34.32206056
224	34.31208267
225	34.30079323
226	34.29029925
227	34.27719519
228	34.26755575
229	34.24956922
230	34.23845424
231	34.22673378
232	34.21060809
233	34.19903148
234	34.18060742
235	34.16361675
236	34.15238463
237	34.14286641
238	34.12427154
239	34.11475441
240	34.10539184
241	34.08880063
242	34.07688877
243	34.06589976
244	34.05582627
245	34.04546341
246	34.03131546
247	34.01072983
248	33.99672864
249	33.9793497
250	33.96511229
251	33.95391175
252	33.94225292
253	33.9305837
254	33.92040412
255	33.90758504
256	33.89935854
257	33.88424873
258	33.87236692
259	33.8579059
260	33.84570198
261	33.83502441
262	33.82634146
263	33.81553047
264	33.8007008
265	33.79258169
266	33.78268007
267	33.77412886
268	33.76736218
269	33.75796057
270	33.74381614
271	33.72967851
272	33.72088442
273	33.71069712
274	33.69800735
275	33.68883825
276	33.68156599
277	33.66907784
278	33.65411447
279	33.64156287
280	33.63064926
281	33.61919332
282	33.61118836
283	33.60403442
284	33.59311705
285	33.58525759
286	33.57914773
287	33.56995732
288	33.55896147
289	33.54621218
